Modelo,GB,Stores,Min_Price,Min_Store,Max_Price,Max_Store,Price_Diff,Price_Diff_Percent,Conditions
IPHONE 12,64 GB,2,320,VELTRON - LISTA DE PRECIOS,520,VELTRON - LISTA DE PRECIOS,200,62.5,"Usado, Nuevo"
IPHONE 12,128 GB,2,400,TECNOSTORE_ARG,580,VELTRON - LISTA DE PRECIOS,180,45.0,"Usado, Nuevo"
IPHONE 16,128 GB,2,840,TECNOSTORE_ARG,880,VELTRON - LISTA DE PRECIOS,40,4.761904761904762,Nuevo
IPHONE 13,128 GB,2,580,TECNOSTORE_ARG,600,VELTRON - LISTA DE PRECIOS,20,3.4482758620689653,Nuevo
IPHONE 11,128 GB,2,300,TECNOSTORE_ARG,310,VELTRON - LISTA DE PRECIOS,10,3.3333333333333335,Usado
IPHONE 14,128 GB,2,680,TECNOSTORE_ARG,700,VELTRON - LISTA DE PRECIOS,20,2.941176470588235,Nuevo
IPHONE 15,128 GB,2,760,TECNOSTORE_ARG,780,VELTRON - LISTA DE PRECIOS,20,2.631578947368421,Nuevo
IPHONE 16 PRO,128 GB,2,1050,VELTRON - LISTA DE PRECIOS,1060,TECNOSTORE_ARG,10,0.9523809523809524,Nuevo
IPHONE 16 PRO,256 GB,2,1150,VELTRON - LISTA DE PRECIOS,1160,TECNOSTORE_ARG,10,0.8695652173913043,Nuevo
IPHONE 16 PRO MAX,256 GB,2,1240,TECNOSTORE_ARG,1250,VELTRON - LISTA DE PRECIOS,10,0.8064516129032258,Nuevo
